SampleNo,Type,Mean_DeltaE,15L,15a,15b,25L,25a,25b,45L,45a,45b,75L,75a,75b,110L,110a,110b,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
GRTOYOTA 3K7 CK003,REAL,0.0,81.16,4.43,8.01,72.38,4.09,6.63,53.37,3.38,3.73,35.5,3.16,0.49,26.24,3.06,-1.22,17.05319602,0.0,0.0,0.0,0.0,0.0,39.71799942,21.3773993,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,3.675365157,0.0,0.0,1.185214489,0.0,0.0,0.0,0.0,0,0.32066682,0.0,1.036190122,0,0.0,0.0,0.0,0.0,0.0,0.0,2.889258703,12.74470997,0.0,0.0,0.0,0.0,0,0.0
GRTOYOTA 3K7 CK003,PRED,1.781999945640564,84.61000061035156,3.9100000858306885,7.090000152587891,75.27999877929688,3.799999952316284,5.550000190734863,53.41999816894531,3.049999952316284,2.799999952316284,35.029998779296875,2.890000104904175,0.3700000047683716,26.68000030517578,2.819999933242798,-0.8199999928474426,17.05319602,0.0,0.0,0.0,0.0,0.0,39.71799942,21.3773993,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,3.675365157,0.0,0.0,1.185214489,0.0,0.0,0.0,0.0,0,0.32066682,0.0,1.036190122,0,0.0,0.0,0.0,0.0,0.0,0.0,2.889258703,12.74470997,0.0,0.0,0.0,0.0,0,0.0
MONISSAN LV1 CK081,REAL,0.0,51.61,14.29,3.68,38.73,12.22,4.28,19.26,8.26,4.07,7.1,4.53,2.81,3.95,1.89,1.74,0.0,9.773984997,0.0,0.0,0.0,7.355115249,0.0,65.29259643,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,7.776991291,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.308657737,0.0,0,0.0,0.0,0.0,0,1.313994594,0.0,0.0,0.0,5.319558125,0.0,0.859101576,0.0,0.0,0.0,0.0,0.0,0,0.0
MONISSAN LV1 CK081,PRED,2.8420000076293945,56.47999954223633,15.460000038146973,4.699999809265137,40.47999954223633,12.3100004196167,3.7100000381469727,19.6200008392334,7.739999771118164,2.4600000381469727,8.9399995803833,5.349999904632568,1.159999966621399,5.539999961853027,3.9600000381469727,0.4399999976158142,0.0,9.773984997,0.0,0.0,0.0,7.355115249,0.0,65.29259643,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,7.776991291,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.308657737,0.0,0,0.0,0.0,0.0,0,1.313994594,0.0,0.0,0.0,5.319558125,0.0,0.859101576,0.0,0.0,0.0,0.0,0.0,0,0.0
MTOYOTA 8L6 CK007,REAL,0.0,80.91,-3.8,-22.04,69.09,-3.19,-22.3,49.53,-2.16,-23.8,37.04,-0.42,-27.47,31.85,0.75,-30.02,0.0,0.0,0.0,0.0,0.0,20.35541373,45.01933887,0.0,0.859196387,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,13.0881079,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5.368771278,14.10347985,0.0,0.0,0.0,0.0,1.205691979,0.0,0.0,0.0,0.0,0.0,0,0.0
MTOYOTA 8L6 CK007,PRED,2.500999927520752,83.54000091552734,-4.960000038146973,-22.8799991607666,72.04000091552734,-4.71999979019165,-23.600000381469727,51.2400016784668,-3.3499999046325684,-24.309999465942383,36.29999923706055,-0.8799999952316284,-26.780000686645508,29.709999084472656,0.44999998807907104,-28.420000076293945,0.0,0.0,0.0,0.0,0.0,20.35541373,45.01933887,0.0,0.859196387,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,13.0881079,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5.368771278,14.10347985,0.0,0.0,0.0,0.0,1.205691979,0.0,0.0,0.0,0.0,0.0,0,0.0
MTOYOTA 8M0 CK018,REAL,0.0,70.5,-7.81,-19.57,54.46,-6.51,-16.82,31.19,-3.82,-13.33,17.55,-0.95,-11.62,12.18,0.6,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.830810518,10.72340909,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,38.47855965,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2.246995273,0.0,0.0,0.0,0.548672067,0.0,0.0,0,0.0,29.3352835,0.0,0,0.0,0.0,0.0,0.0,2.723238021,0.0,0.427372066,9.68565982,0.0,0.0,0.0,0.0,0,0.0
MTOYOTA 8M0 CK018,PRED,5.435999870300293,69.8499984741211,-0.9599999785423279,-23.969999313354492,51.439998626708984,-0.7400000095367432,-20.079999923706055,27.809999465942383,0.33000001311302185,-14.640000343322754,15.489999771118164,2.0,-12.210000038146973,10.729999542236328,2.5999999046325684,-11.289999961853027,0.0,0.0,0.0,0.0,0.0,0.0,5.830810518,10.72340909,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,38.47855965,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2.246995273,0.0,0.0,0.0,0.548672067,0.0,0.0,0,0.0,29.3352835,0.0,0,0.0,0.0,0.0,0.0,2.723238021,0.0,0.427372066,9.68565982,0.0,0.0,0.0,0.0,0,0.0
GRJAGUAR LKS CK000,REAL,0.0,45.55,0.54,7.22,39.44,0.54,5.47,27.14,0.42,1.73,17.22,0.47,-2.8,12.57,0.47,-4.76,0.0,0.0,0.0,0.0,0.0,0.0,13.80446843,63.76689296,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,6.060575824,0,0.0,5.349520942,0.0,0.0,2.113086576,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2.35791282,0.0,0.0,0.0,4.815722757,0.0,0.0,0.0,0.0,0.0,0,1.731819695
GRJAGUAR LKS CK000,PRED,2.5829999446868896,47.72999954223633,-0.20000000298023224,8.050000190734863,41.88999938964844,0.1899999976158142,5.739999771118164,29.350000381469727,0.18000000715255737,2.1500000953674316,19.25,0.5199999809265137,-1.2400000095367432,14.770000457763672,0.550000011920929,-2.509999990463257,0.0,0.0,0.0,0.0,0.0,0.0,13.80446843,63.76689296,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,6.060575824,0,0.0,5.349520942,0.0,0.0,2.113086576,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2.35791282,0.0,0.0,0.0,4.815722757,0.0,0.0,0.0,0.0,0.0,0,1.731819695
