SampleNo,15L,25L,45L,75L,110L,15a,25a,45a,75a,110a,15b,25b,45b,75b,110b,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
TOYOTA 8S9 CK101,101.92,88.52,61.49,39.87,31.01,-15.03,-13.94,-11.93,-11.54,-11.83,-12.45,-12.57,-13.01,-15.95,-18.18,9.01,10.65,10.28,24.63,27.27,24.34,6.32,14.1015333,0,0,0,0,36.83685405,32.85487174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419359324,1.545720343,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69029302,1.21780522,0,0,0,4.333563003,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LA5R CK000,86.08,66.94,38.86,21.16,14.46,-14.19,-11.4,-6.21,-0.67,2.04,-29.19,-26.63,-21.62,-20.02,-19.46,6.45,3.97,4.23,21.89,22.98,19.51,6.99,11.85599096,0,0,0,0,0,27.5444566,6.038592409,0.056435443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964771481,0,0,0,1.803788635,0,0,0,0,0,0,47.42350059,0,0,0,0,0,0,0,0,0.211185745,0,4.101278133,0,0,0,0,0
NISSAN K54 CK000,100.06,83.45,66.2,60.25,57.86,0.92,0,-1.21,-1.54,-1.81,3.67,0.56,-2.69,-5.23,-6.17,5.92,3.49,2.82,21.29,12.41,3.71,4.98,77.3093657,0,0,0,0,0,0,0,2.210562638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.92875379,0,0,7.291695859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259622014,0,0,0,0,0,0,0
SUZUKI ZWE CK000,116.01,91.67,56.09,37.98,32.5,3.83,3.41,2.44,2.72,3.31,40.91,35.69,25.84,21.4,20.82,8.98,8.63,7.19,23.11,25.41,18.42,5.57,0,0,0,0,0,49.27318391,21.11258391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.845025927,0,0,0,2.706506828,0,0,0,0,0,0,0,0,2.588511064,0,0,0,0,0,0,0,0,0,1.444183063,0,0,0,0,1.377951943,0,13.65205336
SUZUKI Z2J CK103,71.48,54,28.57,13.82,8.84,-13.24,-9.5,-2.73,4.24,6.57,-47.68,-41.65,-31.22,-25.48,-22.5,11.25,8.37,5.97,30.61,28.48,21.73,6.52,0,0,0,0,0,27.56933042,11.80779462,11.10283798,0,0.136490724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.248479243,0,0,0,0,0,0,0,0,0,0,0,0,0,21.90652928,0,11.30609502,0,1.361166056,0,11.56127666,0,0,0,0,0
ROVER HAF CK000,31.23,18.59,6.15,3.1,2.49,-11.68,-8.44,-3.67,-1.27,-0.62,8.96,5.12,0.63,-0.94,-1.13,14.12,4.8,3.67,36.77,28.7,8.43,5.56,1.412786695,0,0,0,0,0,0,67.77829389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.259052795,0,0,0,0,2.259052795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.389578122,0,0,0,0,0,0,0,6.906236807,0,16.90244698,0,0,0,0.092551918
TOYOTA B83 CK000,116.64,90.89,57.37,41.57,36.55,-9.88,-9.01,-8.15,-8.1,-8.93,-3.06,-4.46,-6.32,-9.06,-11.18,7.25,5.9,4.59,20.72,23.02,14.3,5.67,57.38967178,0,0,0,0,32.00378166,0,2.351929805,0.472584026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.523409078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347006037,0,4.934008237,0.977609377,0,0,0,0
MITSUBISHI C21 CK000,77.55,54.49,25.66,9.95,5.07,10.52,7.16,4.03,3.11,2.03,17.37,12.36,7.02,4.48,2.13,13.7,10.06,9.99,32.19,27.96,19.5,8.02,0,0,0,0,0,10.58803666,4.535626276,62.73806172,0,0,15.0635647,0,0,3.860125708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.876273208,0,0,1.082918402,0,0,0,0,0,0,0,0,0,0.255393323,0,0,0,0,0,0,0
PORSCHE M5S CK000,50.94,34.95,15.44,6.4,4.1,-5.41,-4.7,-2.58,-0.31,0.45,-17.33,-11.61,-6.2,-3.34,-1.51,9,6.66,4.38,35.88,28.17,13.36,7.13,6.50629368,0,0,0,0,0,0,63.39449119,0,0,0,0,0,0,0,0,0,11.12093949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523525347,0,0,0,0,10.38912536,0,0,0,0,5.305787328,0,2.513821336,0,0.24601626,0,0,0,0,0,0,0
SUBARU 154 CK001,94.59,80.92,54.24,32.03,21.67,0.62,0.51,0.29,0.31,0.34,-6.73,-6.67,-5.89,-5.14,-4.71,6.47,5.9,5.43,20.04,23.89,21.45,5.93,14.92778807,0,0,0,0,0,53.57184278,23.95465771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.289969256,0,0,2.912636317,0,2.343105863,0,0,0,0,0,0,0
