SampleNo,15L,25L,45L,75L,110L,15a,25a,45a,75a,110a,15b,25b,45b,75b,110b,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
TOYOTA 6L6 CK001,73.3,65.01,48.33,34.69,27.31,-7.87,-7.94,-8.3,-9.05,-9.17,5.44,4.19,1.83,0.22,-0.32,5.68,4.92,4.55,22.5,24.18,18.35,5.82,20.80948341,0,0,0,0,0,33.89136786,14.24278219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.014130815,0,0,0,0,0.260345934,0,6.005739176,0,0,0,0,0,0,7.685878933,0,0,0,0,2.225823252,12.86444843,0,0,0,0,0,0
TOYOTA 6L6 CK002,86.72,73.34,51.67,37.85,31.69,-3.7,-3.95,-4.73,-5.29,-5.72,3.43,2.47,1.37,0.01,-1.08,5.9,4.38,3.46,19.6,19.21,13.46,5.89,18.68528203,0,0,0,0,0,43.5119635,0,0.481053311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.176392968,1.071977336,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13389666,0,0,0,0,0.613450169,26.21300971,0,1.112974319,0,0,0,0
TOYOTA 6L6 CK003,99.86,83.01,55.46,37.41,29.75,-5.44,-6.94,-7.38,-7.59,-7.81,-0.82,0.3,0.36,-0.72,-1.68,5.85,4.56,4.59,17.16,20.94,16.42,5.7,12.23136316,0,0,0,0,0,28.47725999,0,0.063230118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.17729533,0,0,0,0.656164119,0.193445222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47513204,12.36257373,0,0,2.363536294,0,0,0
TOYOTA 6L6 CK005,79.45,71.74,54.33,38.21,29.36,-6.35,-6.45,-6.85,-7.84,-8.29,5.25,4.23,2.2,0.87,0.48,7.21,6.77,6.17,23.02,24.25,19.94,6.15,18.30920231,0,0,1.88761218,0,1.88761218,42.58984266,11.40047293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811009253,0,0,0,0,0,0,4.658104429,0,0,0,0,0,0,5.379352516,0,0,0,0,2.779590184,10.29720136,0,0,0,0,0,0
TOYOTA 6L6 CK011,98.04,85.18,59.67,38.03,28.03,-6.22,-5.88,-5.28,-5.25,-5.64,4.52,3.62,2.4,1.9,1.79,5.64,6.06,5.51,18.47,23.66,21.67,5.72,21.10811318,0,0,0,0,0,49.14135246,23.53829487,0.04081632,0.244669259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252656396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596109587,0,0,0,1.356415744,0,0,3.721572184,0,0,0,0
TOYOTA 6L7 CK002,80.5,65.28,41.42,26.59,20.27,1.21,0.93,0.55,0.72,0.74,12.46,10.52,7.8,5.86,4.47,19.66,10.89,6.39,27.61,26.17,22.47,8.28,26.82748754,0,16.81313175,0,0,0,0,24.82766611,0.246468062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269474099,0,0,0,3.131291294,3.927811732,0,0,0,0,0,0,0,0,1.531680679,22.42498874,0,0,0,0,0,0
TOYOTA 6M3 CK000,61.7,45.77,22.85,8.66,4.47,-5.06,-3.96,-2.31,-1.02,-0.28,-2.72,-2.73,-2.24,-1.43,-0.72,11.4,9.66,7.2,31.89,27.96,20.67,7.47,2.276877649,0,0,0,0,8.68869604,3.725890574,66.3684536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.757511916,0,0,0,0,0,0,0,0,0,0,1.852056282,0,0,0,0,0,0,0,0,0,0,6.38926774,0,0,0,0,0.653667104,5.287579091,0,0,0,0,0,0
TOYOTA 6M3 CK003,81.55,64.47,36.15,16.13,8.32,-4.05,-3.46,-2.36,-1.28,-0.75,-2.5,-2.64,-2.26,-1.43,-0.95,10.48,9.08,8.4,29.12,28.48,24.49,7.24,1.970654231,0,0,0,0,17.84264785,15.71852311,57.32535841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.465442128,0,0,0,0,0,0,0,0,0,0,4.904308271,0,0,0,0,0.773065998,0,0,0,0,0,0,0
TOYOTA 6M4 CK102,41.56,27.88,12.43,5.89,4.38,-2.06,-2.12,-1.97,-1.52,-1.19,13.04,8.3,4.26,1.14,0.28,11.07,4.69,2.63,33.63,29.07,10.75,6.78,1.247888809,0,0,0,0,0,2.908197971,84.37672833,0.060878713,0.319541767,0,0,0,0,0,0,4.709613679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340233638,0,0,0,0,0,0,0,0,0,0,0,0,5.036917096,0,0,0,0
TOYOTA 6M5 CK001,77.43,61.22,37,22.61,16.11,-8.39,-7.33,-5.66,-4.69,-4.16,-0.24,-0.17,-0.45,-0.39,-0.27,7.66,6.99,6.54,27.84,29.64,21.26,7.32,23.47920692,0,0,0.453272587,0,0.453272587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99700886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214737747,0,0,0,0,0.18781408,53.94954774,0,5.265139478,0,0,0,0
TOYOTA 6M6 CK001,49.88,35.08,17.34,9.21,6.5,-29.14,-22.1,-11.64,-3.83,-1.13,-6.6,-6.24,-5.83,-6.47,-6.22,7.38,4.27,3.47,31.29,25.32,14.76,6.06,8.432401623,0,0,0,0,0,3.112660167,51.14732914,0.126951809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.00481695,0,0,0,0.162879727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.840977679,0,17.17198291,0,0,0
TOYOTA 6M6 CK002,53.85,38.74,18.91,8.99,5.76,-24.61,-19.01,-9.79,-2.3,0.3,-6.95,-6.21,-4.89,-4.63,-4,7.77,5.48,3.61,32.01,27.93,16.73,6.31,10.44922341,0,0,0,0,0,1.218850143,71.61887916,0.06884081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.468494148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322009471,0,11.28622398,0,3.567478883,0,0,0
TOYOTA 6M8 CK001,105.81,90.5,61.07,38.48,28.98,-13.23,-12.07,-10.29,-10.19,-10.94,-7.95,-7.73,-6.68,-6.16,-6.16,6.06,6.38,6.38,18.74,25.34,21.76,5.51,53.61394582,0,0,0,0,0,32.60596778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.565818506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.685786913,0,0,0,0,1.528480976,0,0,0,0,0,0,0
TOYOTA 6M8 CK002,122.7,98.92,60.58,36.76,28.71,-10.57,-9.26,-7.12,-6.27,-6.69,-4.32,-4.71,-4.69,-5.39,-6.18,9.96,10.54,9.05,25.89,26.77,22.15,5.71,0,0,0,11.61536264,0,55.05404391,23.59742188,0,0.021118168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65411843,0.200286621,0,0,0,0,0,0,0,0,0,4.069725187,0,0,0,0,0,0,0,0,0.746793796,0,3.04112936,0,0,0,0,0
TOYOTA 6M8 CK003,105.78,85.89,55.11,36.7,29.9,-11.76,-10.84,-9.88,-9.95,-10.55,-3.81,-4.14,-4.51,-5.9,-7.07,8.28,7.03,7.14,23.49,25.72,17.98,5.6,21.24781587,0,0,0,0,41.04161709,17.5920819,5.331719378,0.199616788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.917883795,1.829311167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.197156947,0,0,0,0.642797059,0,0,0,0,0,0,0
TOYOTA 6N5 CK001,51.36,31.86,14.91,9.91,8.01,-42.31,-30.16,-16.57,-9.48,-6.48,-5.14,-5.23,-6.4,-8,-8.15,15.34,6.36,3.15,33.76,23.11,12.47,6.98,0,0,2.420617399,7.855606858,0,5.445606202,0,42.14302032,0.183296386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.434624014,0,0,0,1.23718728,0,14.26205328,0,23.01798826,0,0,0
TOYOTA 6N5 CK010,35.23,26.23,13.57,7.39,5.51,-28.93,-24.3,-15.57,-7.09,-3.76,-2.52,-3.16,-4.76,-6.88,-6.84,16.74,11.41,6.13,32.08,25.8,10.48,4.89,2.222433635,0,0,2.563153624,0,2.563153624,0,48.66083385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.025846982,0,0,0,0.693153577,0,0,0,0,0,0,0,0,0,0,12.41640991,0,0,0,2.568384742,0,0,0,26.28663006,0,0,0
TOYOTA 6P1 CK004,57.74,40.62,19.48,8.69,5.16,-44.9,-34.73,-19.05,-7.34,-2.01,-8.39,-7.61,-7.04,-7.75,-7.01,6.91,4.87,4.24,29.11,26.42,15.91,5.98,14.55793161,0,0,0,0,0,0,45.61226775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65235715,0,0,0,0,0,8.622999681,0,20.5544438,0,0,0
TOYOTA 6P2 CK107,39.28,26.99,12.36,6.21,4.52,-22.67,-17.08,-8.06,-0.84,0.94,-0.81,-2.82,-4.48,-5.5,-4.68,9.82,6.97,4.36,36.91,28.57,10.6,4.68,2.82216157,0,0,0,0,0,0,60.36860158,0.056973402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68751363,0,0,0,0,0,10.2955351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.434492306,0,0,0,0,0.738257652,0,13.59646476,0,0,0,0,0
TOYOTA 6P2 CK109,39.53,24.48,8.6,3.79,2.8,-23.72,-16.16,-6.34,-0.37,0.56,-3.58,-4.38,-5.28,-4.31,-3.47,13.44,8.94,3.95,33.65,23.47,6.3,4.95,0,0,0,0,0,2.008851304,0.860936273,63.18087888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78175679,0,0,0,0,3.773614877,0,0,0.520475111,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35924462,0,0,0,0,0.297161538,0,5.217080615,0,0,0,0,0
TOYOTA 6P4 CK001,63.16,53.38,37.26,27.14,22.72,-52.99,-48.3,-40.2,-34.69,-31.67,4.75,2.79,-1,-4.84,-5.96,5.86,4.18,3.18,25.21,24.45,19.5,5.81,8.603412293,0,0,0,0,0,20.02719068,0,0.163713919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.520631776,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800868438,0,0,0,0,2.698635185,10.27686838,0,0,42.90867933,0,0,0
TOYOTA 6P5 CK002,61.92,49.29,29.32,16.91,12.02,-42.25,-36.18,-25.75,-17.89,-14.16,4.73,3.21,-0.18,-3.75,-5.04,9.7,9.73,7.07,32.12,28.82,24.32,6.57,9.147947575,0,0,0,0,0,0,28.49314229,0.063742497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.57047282,0,0,0,0,0,0,1.044171388,0,0,0,0,0,0,0,0,0,0,0,0,13.8362469,0,0,0,0,0,0,2.09116059,0,0,0,15.75311594,0,0,0
TOYOTA 6P5 CK051,58.74,44.16,23.87,12.3,7.78,-42.5,-34.12,-22.92,-15.97,-10.67,3.58,1.62,-1.62,-4.21,-5.07,8.26,6.06,5.78,31.13,28.99,19.38,6.11,2.470538686,0,0,0,0,0.162373229,5.756869022,39.04042869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.35068006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.562992326,0,0,0,0,0.84304374,0,0,0,16.81307425,0,0,0
TOYOTA 6P9 CK002,106.22,87.3,57.47,39.05,31.64,-6.04,-6.38,-7.63,-9.41,-10.43,7.24,5.53,2.61,1.79,1.99,9.17,7.88,7.82,25.62,25.36,17.76,5.97,0,0,0,0,0,56.11603105,24.05696277,7.258329338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409405766,0,0,0,0,0,0,5.82696649,0,0,0,0,0,0,5.23284618,0,0,0,0,1.099458411,0,0,0,0,0,0,0
TOYOTA 6Q1 CK001,47.83,39.65,24.64,12.98,7.86,-3.22,-2.74,-2.24,-2.52,-2.74,13.15,11.81,8.96,6.61,4.48,8.43,6.33,6.28,30.48,31.53,25.08,6.12,3.585213048,0,0,0,0,0,8.35262168,73.52838886,0,0.675393915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.632451529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.755928141,0,0,0,0,2.139098706,0,0,0,0,1.710844183,0,0,0,0,1.620059937,0,0
TOYOTA 6Q3 CK001,87.44,74.45,49.9,31,23.17,-2.15,-2.15,-2.28,-2.52,-2.69,17.77,15.93,11.66,7.49,5.36,13.24,13.74,11.68,30.44,26.76,23.16,7.5,5.608899508,0,0,16.21354896,0,16.21354896,13.05291098,37.56693887,0.141393956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665067444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.339209894,0,0,1.937913102,0,0,0,6.260568338
TOYOTA 6Q3 CK002,92.71,78.83,51.8,30.83,21.89,-1.76,-1.68,-1.51,-1.3,-1.23,17.21,14.9,10.25,6.41,4.76,11.7,11.22,9.34,26.33,30.43,26.78,7.04,33.91291973,0,0,9.237409799,0,9.237409799,0,37.18368677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695420096,0,0,0.38848024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.389509052,0,0,0,0.876324762,0,0,6.07883975
TOYOTA 6Q3 CK004,115.47,83.83,43.91,23.47,16.99,-2.36,-2.13,-1.82,-1.76,-1.8,18.23,14.83,8.52,4.51,3.29,11.5,11.18,8.61,28.13,27.33,23.31,7.38,0,0,0,18.32396493,0,32.05674506,5.887807157,36.9205351,0,0.10069079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667660429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285297023,0,0,0,0.584585771,0,0,5.172713735
TOYOTA 6Q4 CK000,59.28,39.19,18.04,10.15,7.28,-15.86,-9.66,-5.18,-4.07,-3.21,22.36,16.75,8.17,3.61,1.82,9.76,6.81,4.45,32.85,26.05,17.04,7.28,3.078332308,0,0,0,0,0,0,58.26820004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.55851263,0,0,0,0,0,0,0,0,0,0,0,0,0.156916225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.983902983,0,2.315206548,0,3.638929259
TOYOTA 6Q4 CK051,41.43,28.72,14.56,9.02,7.01,-15.97,-11.73,-8.64,-7.84,-6.15,21.2,15.88,8.35,4.12,2.49,10.33,5.46,5.71,34.66,28.77,13.92,6.06,0.782111885,0,0,0,0,0,1.829669637,44.66417513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44664541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250999841,14.06465717,0,16.01860479,0,5.003785121,0,4.939351018
TOYOTA 6Q9 CK008,79.82,73.42,60.75,51.15,45.92,-6.3,-6.88,-8.53,-10.39,-11.4,21.76,20.58,19.01,17.91,17.58,5.81,5.23,4.83,23.13,25.17,15.45,5.34,65.43232869,0,0,0,0,0,0,0,0.782644845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.432308507,5.923255495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.688469331,5.541306758,0,5.807940419,0,2.391745955,0,0
TOYOTA 6Q9 CK010,105.33,88.37,61.43,45.35,39.61,-6.5,-7.1,-8.95,-10.95,-12.15,24.14,21.71,18.68,17.79,18.27,8.91,6.52,5.95,23.92,22.38,14.03,5.27,0,0,0,0,0,34.88583907,41.81652061,0,0.310672105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45114758,2.545700029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.083580605,0,0,6.733127581,0,1.173412418,0,0
TOYOTA 6Q9 CK081,89.34,80.62,63.03,49.37,42.85,-7.49,-7.71,-8.72,-10.36,-11.37,19.96,18.28,15.27,12.97,12.3,5.59,4.96,4.26,18.79,20.5,14.19,5.25,22.61909273,0,0,0,0,0,52.68133382,0,0.255182021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.937247848,6.945456803,0,0,0,0,0.425745471,0,0,0,0,0,0,0,0,0,0,0,0,0,3.346778171,0,0,6.541433832,0,1.247729302,0,0
TOYOTA 6R2 CK005,28.95,23.91,15.7,10.72,7.87,-38.48,-35.04,-29.13,-22.65,-15.98,-3.25,-3.51,-4.04,-4.98,-5.51,10.33,7.74,4.68,34.68,29.29,15.08,3.67,3.623883619,0,0,0.128811987,0,0,0,5.454267584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.092367463,0,0,25.32805453,0,0,0,5.527174566,8.661864154,0,48.1835761,0,0,0,0
TOYOTA 6R2 CK081,37.78,24.69,14.92,12.65,10.81,-46.77,-37.65,-31.63,-28.19,-23.53,-4.13,-1.46,-0.92,-1.68,-2.42,9.08,3.16,2.46,31.49,21.51,14.82,3.59,0,0,0,0,0,0,0.495069458,13.79887275,0.041504827,0,0,0,0,0,0,0,0,0,0,0,12.24126348,0,0,0,0,0,7.64021033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.053068201,0,0,9.938818837,0,0,0,0,0,0,46.79119211,0,0,0,0
TOYOTA 6R4 CK007,29.77,18.23,6.64,4.43,3.8,-34.32,-24.02,-8.84,-3.85,-2.7,15.48,9.7,0.73,-2.14,-2.41,14.08,8.21,3.77,35.24,22.65,5.48,3.32,0,0,0,0,0,0,0,37.95053619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.01255609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.673473741,0,0,0,0,0,0,0,0,0,1.049967675,0,0,0,35.85062317,1.462843128,0,0
TOYOTA 6R4 CK019,31.84,20.66,8.19,5.07,4.31,-35,-25.17,-10.65,-3.68,-2.15,12.33,8.25,0.69,-2.69,-2.99,14.11,10,3.52,35.15,22.97,10.17,3.45,0,0,0,0,0,0,0,39.42446251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.27985352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51402003,0,0,0,0,0,0,0,0,0,1.224071772,0,3.885136788,9.148381317,22.52407406,0,0,0
TOYOTA 6R4 CK108,35.11,22.63,8.16,4.18,3.32,-34.8,-25.54,-10.58,-2.7,-1.31,16,10.59,0.95,-3.27,-3.56,13.27,11.27,5.12,35.86,24.61,6.2,3.77,0,0,0,0,0,0,0,48.85323196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.87299389,0,0,0,0,5.511179713,0,0,0,0,0,0,0,0,0,0,0,1.333781804,0,0,0,0,0,0,0,0,0,0.486636,0,1.197130753,0,27.74504588,0,0,0
TOYOTA 6R4 CK112,37.36,24.46,10.76,6.68,5.31,-39.29,-30.3,-18.38,-10.36,-7.34,18.57,12.39,2.83,-1.89,-2.78,13.07,9.89,5.37,35.4,23.65,8.2,3.73,0,0,0,0,0,0,0,32.87360997,0,0,0,0,0,0,0,0,0,0,1.533949922,0,0,0,0,0,0,0,12.96263622,0,0,0,0,3.242557509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.554460683,0,0,22.13577753,24.30828801,1.388720157,0,0
TOYOTA 6R4 CK113,31.49,21.22,8.86,4.83,3.92,-28.15,-21.85,-11.12,-3.63,-1.82,9.54,7.28,1.56,-2.06,-2.59,15.42,11.6,4.47,33.53,24.85,12.51,3.48,0,0,0,0,0,0,0,51.52053985,0,0,0,0,0,0,0,0,0,0,0,3.120114572,0,0,0,0,0,6.858813951,9.978928523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.465489285,0,0,0,0,0,0,0,0,0,2.13332081,0,0,0,23.92279301,0,0,0
TOYOTA 6R5 CK103,20.07,9.08,2.33,1.57,1.36,-8.32,-4.39,-0.48,-0.05,0.01,3.05,2.1,0.06,-0.31,-0.31,16.4,3.95,2.13,33.53,16.35,1.64,2.72,0,0,0,0,0,0,0,85.97715113,0,0,0,0,0,0,0,0,0,0,0.6403235,0,0.962215854,0,0,0,0,0,5.132971627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176855251,7.110482637,0,0,0,0,0,0
TOYOTA 6S0 CK004,114.27,96.33,63.55,40.14,31.63,-15.57,-14.62,-13,-13.22,-14.22,10.12,8.86,7.04,7.41,8.6,10.41,10.05,8.22,25.3,28.87,24.79,6.03,0,0,0,4.885384004,0,55.88377162,21.85346292,0,0,0.267244298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.234459269,0.271040382,0,0,0,0,0.571764622,0,0,0,0,0,0,0,0,0,0,0,0,0,1.951917304,0,0,12.08095558,0,0,0,0
TOYOTA 6S3 CK002,26.79,14.54,4.29,2.85,2.41,-23.85,-15.86,-3.77,-1.15,-0.55,-4.5,-3.06,-3.17,-3.3,-3.04,14.83,4.3,2.59,32.14,21.86,3.45,3.33,0,0,0,0,0,0.245687084,0,57.42195102,0,0,0,0,0,0,0,0,0,0,0,0,9.890471742,0,0,0,0,0,4.942395414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.504615313,0,0,0,0,0.250854273,0,0,14.16959646,11.57442869,0,0,0
TOYOTA 6S3 CK005,32.06,19.42,6.51,3.78,3.02,-21.82,-16.59,-7.18,-3.05,-1.76,-12.37,-7.33,-3.86,-2.51,-2.15,13.38,6.86,3.9,34.24,22.25,6.17,3.51,0,0,0,0,0,0,0,60.56390245,0,0,0,0,0,0,0,0,0,0,0,0,11.99128876,0,3.536601294,0,0,0,10.4440257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.990753369,0,0,0,0,0.505451347,0,0,0,4.178478985,0.789498092,0,0
TOYOTA 6S3 CK006,23.78,16.06,6.15,3.24,2.55,-18.95,-15.87,-6.99,-1.96,-0.78,-10.31,-6.06,-2.75,-2.38,-2.25,11.71,5.93,5.19,33.06,28.15,6.38,2.12,0,0,0,0,0,0,0,60.88563345,0,0,0,0,0,0,0,0,0,0,0,0,7.234364984,0,3.028338831,0,0,9.701900328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26789082,0,0,0,0,1.538881543,0,0,0,5.595178023,0.747812016,0,0
TOYOTA 6S9 CK000,84.18,60.14,31.69,19.05,14.69,-9.48,-6.03,-1.62,0.95,1.4,-1.01,2.26,1.75,-0.66,-2.02,9.53,5.49,4.29,25.91,23.93,16.7,6.74,0,0,0,0,0,6.481013045,2.782294772,30.33326404,0,0,0,0,0,0,0,0,0,0,0,0,15.23908729,0,0,0,0,41.63941673,0,0,0,0,0,0,0,0,0,0,0,1.502839706,0,0.119446186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.443328832,0,0,0,0,0.459309403
TOYOTA 6S9 CK011,88.72,63.8,33.18,19.77,15.21,-7.84,-3.45,0.86,2.66,2.65,-3.53,0.41,1.26,-0.36,-1.61,9.46,8.81,7.28,28.06,27.43,20.01,6.82,0,0,0,0,0,7.091182064,0,28.18383076,0,0,0,0,0,0,0,0,0,3.297283825,0,0,25.3298624,0,0,0,0,0,35.1336796,0,0,0,0,0,0,0,0,0,0,0.658570065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18174683,0,0.123844467,0,0,0,0,0
TOYOTA 6T0 CK101,47.4,46.88,46.62,47.23,46,-51.13,-51.3,-51.5,-50.62,-49.3,22.12,22.14,21.88,20.06,19.39,1.13,0,0.17,1.82,0,0.11,0.67,0,0,0,0,0,0,0,0,3.946792931,3.56506711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.385157582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.10298238,0,0,0,0
TOYOTA 6T1 CK003,103.71,82.96,52.83,38.1,32.79,0.25,-0.28,-1.44,-2.49,-3.05,16.29,12.22,4.65,-1.11,-2.68,9.17,6.01,5.49,23.25,25.68,17.42,6.47,48.08920694,0,0,8.779480497,0,0,0,27.60782272,0,0.775058409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.65345456,0,0,0,0,0,0,0,0,0,1.312856627,0,0,0,0,0,0,0,0,0.776789584,0,0,0,0,0,0,1.005330666
TOYOTA 6T3 CK101,42.4,21.45,6.6,4.46,3.59,-7.14,-4.62,-1.63,-0.32,-0.11,-6.19,-2.61,-1.04,-1.4,-1.41,44.43,9.63,4.8,26.31,15.33,3.97,5.25,0,0,0,0,0,0,0,71.89855912,0.058629618,0,0,0,0,0,0,0,0,0,0,0,0,0,7.968136022,0,0,0,3.356558843,0,14.89288425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116425038,0,1.047201075,0,0.661606036,0,0,0
TOYOTA 6T4 CK008,124.71,93.93,59.11,47.31,44.55,-1.4,-2.11,-3.68,-4.75,-5.64,24.51,12.92,-2.69,-9.57,-10.1,8.04,6.37,5.39,21.33,23.54,12.62,4.67,0,0,0,0,0,41.07588339,0,0,0.019131406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.64428395,0,0,8.95588933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486596329,0,0.493928787,0,0,0.324286799,0,0
TOYOTA 6T4 CK107,116.68,97.99,66.17,48.62,43.74,-1.95,-2.13,-2.85,-3.93,-4.82,14.31,10.49,2.2,-4.76,-6.29,9.67,9.91,9.2,25.62,29.16,21.82,5.73,0,0,0,0,0,85.96936161,0,0,0.048398164,0.033847082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.939387955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.047670782,1.035720711,0.402626013,0,0,0.522987686,0,0
