SampleNo,CR,15ML,15L,25L,45L,75L,110L,15Ma,15a,25a,45a,75a,110a,15Mb,15b,25b,45b,75b,110b,15Mc,15c,25c,45c,75c,110c,15Mh,15h,25h,45h,75h,110h,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190,020,010
TOYOTA 3Q0 CK102,0.994485,135.63,126.8,100.38,59.19,35.32,27.66,4.45,4.18,3.83,3.16,3.84,4.53,2.25,2.07,0.99,-0.16,-0.58,-0.72,4.99,4.67,3.96,3.17,3.89,4.59,26.75,26.35,14.44,357.08,351.38,350.97,10.3,10.73,10.22,23.97,29.75,24.83,5.87,0,0,1.265650054,0,3.537039884,83.93159127,0,7.915478757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559680316,0,0,1.421048461,0,0,0,0,0,0.309788688,0,0,0,0,0,0,0,0,0,1.059722566,0,0,0,0,0,0,0,13.11,0
TOYOTA 3Q0-N CK000,0.999172,55.94,55.48,55.03,54.89,55.81,54.2,2.07,2.25,2.31,2.34,2.54,2.49,-0.72,-1.1,-1.29,-1.66,-3.22,-3.34,2.19,2.5,2.65,2.87,4.1,4.17,340.71,333.91,330.85,324.71,308.32,306.7,1.08,0,0,0.93,0,0,0.77,0,0,0,0,0,0,0,40.8632415,19.66449777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.902535336,0,0,0,0,0,0,0,0,0.660991137,0,0,0,0,0,0,36.90873426,0,0,0,0,0,0,0,0
TOYOTA 3Q1 CK111,0.981589,138.68,127.18,88.71,47.44,31.14,26.22,2.84,2.75,2.66,1.99,2.35,2.47,1.62,1.68,0.52,-0.19,-1.14,-2.43,3.27,3.22,2.71,2,2.61,3.47,29.66,31.44,11.01,354.65,334.21,315.45,10.94,7.53,5.34,27.46,25.71,17.35,6.5,0,0,0,33.28609604,0,33.28609604,0,9.326242577,0.171598505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.67525956,0,0,0,0,0,0,0,0,0,0,0.831004303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.423702973,0,0,0,0,0,0,0,0
TOYOTA 3Q3 CK107,0.782142,46.31,40.21,23.89,11.79,9.79,9,59.91,54.91,38.48,24.18,20.73,19.42,29.32,26.47,16.94,8.74,6.76,5.99,66.7,60.96,42.04,25.71,21.8,20.32,26.07,25.73,23.76,19.87,18.07,17.15,10.66,3.98,3.07,32.4,19.91,11.91,3.72,0.379530219,0,0,0,0,0,0.87747078,14.80167852,0,0,0,0,0,18.79137424,0,11.6373422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.852261046,0,0,0,0,0,0,0,0,0,0,0,0,23.03477275,0,0,0,0,28.62557024,0,0,0,0,0,0,0,0,0,0
TOYOTA 3Q3 CK109,0.721573,45.67,41.44,27.71,14.28,11.24,9.82,59.24,56.49,44.25,30.31,25.74,23.67,26.69,25.51,19.92,11.63,7.78,6.19,64.98,61.99,48.53,32.47,26.89,24.46,24.25,24.31,24.23,20.99,16.81,14.65,5.58,3.18,3.35,27.64,20.56,8.47,2.42,0,0,0,0,0,0,0,13.71513598,0,0,0,0,20.87483815,0,0,0,0,0,0,0,0,0,0,1.298685129,0,0,0,0,0,0,0,0,0,0,2.877510666,0,0,0,0,0,16.02976335,0,0,0,0,0,0,23.35500511,0,0,0,0,7.493797129,0,0,0,0,0,0,14.35526448,0,0,0
TOYOTA 3Q3 CK110,0.836174,48.93,44.38,28.47,13.59,10.47,9.31,60.6,57.24,43.69,28.05,23.04,21.26,32.84,30.77,23.83,14.89,11.32,9.77,68.93,64.99,49.77,31.75,25.68,23.4,28.46,28.26,28.61,27.96,26.17,24.67,10.47,6.12,3.69,32.4,20.86,9.81,3.57,0,0,0,0,0,0,0,15.82787484,0,0,0,15.59974166,0,23.40390995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.884432872,0,10.96646361,0,0,0,0,29.66966822,0.647908848,0,0,0,0,0,0,0,0,0
TOYOTA 3R3 CK125,0.825906,54.66,50.08,36.93,24.26,21.56,20.54,67.96,64.89,54.46,42.32,38.67,37.67,31.51,29.75,30.05,30,29.37,28.4,74.91,71.38,62.2,51.87,48.56,47.18,24.87,24.63,28.89,35.33,37.22,37.02,9.57,5.01,2.66,28.73,18.92,9.04,3.42,0,0,0,0.330883793,0,0,0,0,0,0,0,20.31117437,0,0,0,0,0,0,0,2.901596338,0,0,0,0,0,0,0,0,0,11.05743469,0,0,0,0,0,0,0,2.458378975,0,0,0,0,0,0,0,59.11272272,0,0,0,0,3.135231368,0,0,0.692577749,0,0,0,0,0,0,0,0,0
TOYOTA 3S7 CK103,0.541077,47.08,44.17,37.11,34.43,34.27,33.11,48.34,50.09,54.62,56.23,56.19,54.98,-2.08,1.95,11.97,17.05,15.56,15.04,48.39,50.13,55.91,58.76,58.31,57,357.54,2.23,12.36,16.87,15.47,15.3,21.08,3.01,1.5,26.1,3.84,1,2.86,0,0,0,0,0,0,0,0,1.646426769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9044338,0,0,0,0,0,0,0,6.964035082,0,0,1.352941204,0,0,0,0,0,0,0,36.56941929,0,0,0,0,0,0.56274386,0,0,0,0,0,0,0,0,0
TOYOTA 3T8 CK006,0.882838,77.4,71.32,50.39,25.22,14.61,11.49,61.22,57.63,46.03,31.29,25.86,23.91,21.54,19.67,17.37,14.22,14.05,12.39,64.9,60.9,49.2,34.37,29.43,26.93,19.38,18.85,20.67,24.43,28.53,27.39,9.46,6.56,4.61,27.78,25.72,18.57,6.25,0,0,0,0,0,8.854267321,3.80828702,4.341447203,0,0,0,40.7067087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10182965,0,0,0,0,0,0,0,0,0,0,27.39522834,0,0,0,0,0,0,3.649889241,0,0,0,0,0,0.142342531,0,0,0,0,0,0,0,0,0
TOYOTA 4D3 CK001,0.999461,87.17,83.13,66.94,41.69,25.81,19.48,5.31,5.06,4.46,3.49,3.04,2.6,21.04,20.11,17.55,13.51,10.06,7.77,21.7,20.73,18.1,13.95,10.51,8.2,75.85,75.88,75.74,75.53,73.17,71.54,12,7.72,6.31,27.78,26.5,21.34,7.29,5.077775402,0,2.952318597,0,0,16.13419382,18.74297438,48.92310556,0.313932194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.168177271,0,0.868773558,0,0,0,0,0,0,0,0.81874922,0,0,0,0,0,0,0,0,0
TOYOTA 4D3 CK052,0.999536,91.5,86.83,68.86,40.94,23.13,15.75,9.31,8.95,7.72,5.66,4.37,3.69,13.07,11.97,9.82,6.81,5.3,4.56,16.05,14.94,12.49,8.85,6.87,5.87,54.55,53.21,51.82,50.28,50.5,50.98,7.19,6.61,6.1,25.7,29.2,25.42,7.31,29.70707084,0,0,0,0,0,0,44.01731807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.934715292,16.83308394,0,0,0,0,0,0,3.56655928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851412375,0,0,0,0,2.0898402,0,0,0,0
TOYOTA 4P2 CK008,0.851412,117.53,112.06,94.62,59.53,35.29,27.6,2.22,2,1.59,0.73,0.64,0.97,19.96,18.44,15.4,9.62,6.42,6.06,20.08,18.54,15.48,9.65,6.45,6.14,83.65,83.8,84.12,85.64,84.27,80.95,21.3,27.5,28.25,34.93,32.34,24.62,9.51,0,0,47.63261133,31.9441208,0,0,0,6.078669808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88647268,0,0,0,0,0,0,0,0.192816244,0,0,1.475471307,0,0,0,0,0,0,0,3.543565547,5.490411439,0,0,0,0,0,2.755860846,0,0
TOYOTA 4P2 CK104,0.89839,116.69,111.63,95.79,62.3,36.34,27.87,1.37,1.22,0.96,0.35,0.29,0.51,17.11,15.72,13.18,8.09,4.94,4.48,17.16,15.77,13.21,8.1,4.95,4.5,85.42,85.55,85.85,87.55,86.67,83.56,21.42,25.93,26.39,33.51,33.45,28,9.39,0,0,36.99091555,44.46999835,0,0,0,5.508195369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795164567,0,0,0,0,0,0,0,0,0,0,1.166081628,0,0,0,0,0,0,0,3.702006716,4.975144204,0,0,0,0,0,2.392493618,0,0
TOYOTA 4R0 CK109,0.989675,126.47,119.22,97,58.8,33.6,25.45,2.54,2.36,2.06,1.48,1.81,2.22,13.09,11.95,9.96,6.97,6.24,6.53,13.33,12.18,10.17,7.13,6.49,6.9,79,78.83,78.29,77.99,73.8,71.2,12.35,14.63,11.95,29.82,29.02,23.87,6.55,0,0,0,30.90069923,0,36.89436934,15.81187257,12.64297434,0.020272315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.603692419,0,0,0,0.55668137,0,0,0,0,0,1.058254747,0,0,0,0,0,0,0.511183663,0,0
TOYOTA 4R8 CK101,0.919073,68.44,64.66,51.65,31.28,19.98,16.34,59.64,57.05,49.02,35.42,27.4,24.77,68.25,66.73,57.85,40.59,27.13,22.11,90.64,87.79,75.82,53.87,38.55,33.2,48.85,49.47,49.72,48.89,44.72,41.76,5.35,3.09,2.87,17.58,19.97,13.92,4.27,0,41.28511994,0,0,0,0,0,0.838699793,0,0,0,0,0,8.055702796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.522492795,0,0,0.426354289,0,0,0,0,0,0,0,0,0,0,0,43.07952406,0,0,0,0,3.253138592,0,0,0.538967736,0,0,0,0,0,0,0,0,0
TOYOTA 4R8 CK102,0.929175,56.31,52.99,42.99,28.57,21.94,19.52,50.65,48.86,43.37,35.07,30.33,28.33,57.89,57.36,50.4,36.35,26.39,22.94,76.92,75.35,66.49,50.51,40.2,36.45,48.82,49.57,49.29,46.03,41.02,39,4.5,2.52,2.14,18.4,17.91,10.39,4.44,0,26.96253028,0,0,0,0,0,2.807407562,0.166965615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.140458224,0,0,0,0,0,0,0,0,0,1.556890706,0,0,0,0,0,0,0,0,0,0,0,62.86434713,0,0,0,0,0,0,0,0.50140048,0,0,0,0,0,0,0,0,0
TOYOTA 4R8 CK103,0.915259,58.53,55.54,45.26,29.45,21.81,19.15,51.76,50.23,44.85,35.48,30.05,27.86,60.69,60.49,52.26,36.54,25.72,21.96,79.77,78.63,68.87,50.93,39.56,35.48,49.54,50.29,49.37,45.85,40.56,38.25,3.49,2.38,2.32,16.66,20.12,12.34,4.39,0,28.07657944,0,0,0,0,0,0,0.082330362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.447369331,0,0,0,0,0,0,0,0,0,0,62.84297745,0,0,0,0,0.286017818,0,0,0.707636213,1.894483608,0,0,0,0,4.662605773,0,0,0
TOYOTA 4S2 CK003,0.99619,102.27,96.66,78.79,49.46,30.14,21.89,0.27,1.36,1.34,0.95,0.99,0.99,16.63,15.32,11.91,7.29,4.82,3.81,16.63,15.38,11.98,7.35,4.92,3.93,89.07,84.91,83.56,82.56,78.39,75.41,12.2,9.86,8.4,26.14,27.09,24.32,6.94,32.18799749,0,1.353199341,0,3.784371039,0,0,33.09768316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.96030281,0,0.911115997,0,0,0.127243433,0,0,0,0,0,1.311178923,0,0,0,0,0,0,0,0,0,2.266907811,0,0,0,0,0,0,0,25.42,0
TOYOTA 4S3 CK000,0.742788,114.59,105.68,76.7,54.06,47.08,44.64,13.45,12.06,10.5,11.11,12.56,13.86,5.85,6.47,14.76,27.18,33.27,35.42,14.67,13.69,18.11,29.37,35.56,38.03,23.51,28.19,54.56,67.77,69.32,68.62,14.75,4.73,2.45,32.64,11.63,2.06,6.57,0,0,1.22414231,16.9131518,0,0,0,0,0,1.233566965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.27756682,48.04145761,0,0,0,3.101366392,0,0,0,0,0,1.208748103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOYOTA 4S3 CK007,0.794535,110.41,103.28,78.39,53.21,43.75,40.37,15.15,13.42,10.99,9.85,11.04,12.26,13.29,12,13.88,19.13,21.84,22.61,20.15,18.01,17.71,21.51,24.48,25.72,41.27,41.8,51.62,62.76,63.19,61.53,15.24,8.32,5.45,31.8,19.28,8.18,7.78,0,0,3.649569347,23.86282283,10.20624551,0,0,0,0.292841218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6934659,0,0,0,7.488553327,0,0,0,0,0,1.004187916,0,0,0,0,0,1.879913165,0,0,0,0,0,0,0,0.217921582,0.704479215,0,0,0,0,0,0,0,0
TOYOTA 4S3 CK008,0.871573,100.25,94.46,75.82,54.2,44.49,40.61,14.72,13.4,11.62,10.92,12.29,13.5,13.41,12.13,14.22,18.53,21.03,21.88,19.91,18.07,18.36,21.51,24.36,25.71,42.32,42.15,50.75,59.49,59.69,58.32,13.91,5.6,3.76,26.08,19.03,8.37,7.09,22.83544415,0,6.55243764,6.523698879,0,0,0,0,0.416803676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.78539831,0,0,0,9.558776167,0,0,0,0,0,1.314413497,0,0,0,0,0,3.349096541,0,0,0,0,0,0,0,0.663931137,0,0,0,0,0,0,0,0,0
TOYOTA 4S4 CK002,0.998517,57.25,56.96,56.51,56.39,57.28,55.62,-2.1,-2.09,-2.07,-2.06,-1.79,-1.69,4.81,4.65,4.5,4.15,2.47,2.12,5.25,5.1,4.95,4.63,3.05,2.71,113.57,114.24,114.68,116.4,125.89,128.47,0.52,0,0,0.49,0,0,0.7,0,0,0,0,0,0,0,36.72900476,17.46894383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.718676083,0,7.90879039,0,0,0,0,0,0,0,0,0,0,0,0,33.17458494,0,0,0,0,0,0,0,0
TOYOTA 4T2 CK000,0.999961,56.44,49.86,28.35,10.44,6.53,5.51,15.5,15.56,10.74,4.77,1.88,0.94,32.01,29.83,19.11,7.23,2.16,0.97,35.57,33.64,21.92,8.66,2.86,1.35,64.17,62.46,60.67,56.56,48.94,45.92,16.93,8.34,5.66,31.94,20.64,12.49,6.43,0,0,0,0.416499399,0,0,0,71.6283766,0.050882992,0.198613047,0,0,0,12.71422863,0,0,9.987118723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.597932239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.406348367,0,0
TOYOTA 4T8 CK107,0.983535,107.6,103.4,90.49,64.66,45.24,37,2.67,2.47,2.36,2.45,3.81,5.09,17.93,16.67,15.05,12.88,13.82,15.27,18.13,16.85,15.24,13.11,14.34,16.09,81.53,81.57,81.08,79.24,74.6,71.57,13.36,10.79,8.85,25.55,28.46,23.82,6.89,61.08562898,0,10.80864739,10.76124104,0,0,0,0.18693813,0.061147986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.570039687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515123284,0,0,0,3.777306547,0,0,0,0,0,0,0,0,0,6.233926955,0,0,0,0,0,0,0,18.33,0
TOYOTA 4U2 CK000,0.999319,67.18,63.21,48.08,26.03,12.55,7.72,6.93,6.72,5.33,3.51,2.63,1.97,24.58,23.45,19,12.45,7.37,4.11,25.54,24.39,19.73,12.93,7.83,4.56,74.25,74.01,74.32,74.26,70.36,64.42,8.95,5.51,4.27,28.3,28.13,24.21,7.8,4.327990303,0,0,0,0,0,10.09971563,52.63394659,0,0,0,3.301649098,0,0,0,0,5.942968376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.519734889,0,0,0,0,0,0,0,0,0,0.749788273,14.34406776,0,0,0,0,0,3.080139084,10.4,0
TOYOTA 4U3 CK000,0.999967,55.72,49.49,26.86,9.49,6.26,5.18,20.12,21.59,14.93,8.28,5.15,3.53,38.89,36.88,22.98,7.83,2.78,1.4,43.78,42.74,27.41,11.4,5.85,3.79,62.65,59.65,56.99,43.4,28.38,21.6,28.78,14.6,7.51,32.69,17.35,6.92,5.17,0,0,0,0,0,0,0,78.11861129,0.179020918,0,0,0,0,0,0,0,5.532276464,0,0,0,0,0,0,0,0,0,2.373282024,0,0,0,0,0,0,0,0,0,0,0,0,0,4.775659178,0,0,0,0,0,0,0,0,0,0,0,0,0.502432477,0,0,0,0,0,0,8.518717651,0,0
TOYOTA 569 CK001,0.993368,102.44,96.34,76.1,54.34,45.45,41.93,1.84,1.53,-0.58,-4.08,-6.23,-6.92,37.61,35.23,30.52,28.45,28.58,29.42,37.65,35.27,30.52,28.74,29.25,30.22,87.19,87.51,91.1,98.15,102.3,103.24,6.19,3.5,3.05,21.03,15.89,6.42,5.97,31.57472114,0,0,0,0,0,0,9.798034006,0,4.822329206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92140987,0,8.933615543,5.591631183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308960935,0,0,0,0,0,0,0,0,0,2.049298117,0,0,0,0
TOYOTA 576 CK004,0.977181,79.11,79.8,79.53,79.56,79.84,77.24,1.97,2.44,2.57,2.71,2.54,2.22,67.88,70.46,70.76,70.97,68.27,65.33,67.91,70.51,70.81,71.02,68.32,65.37,88.33,88.02,87.92,87.81,87.87,88.05,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0.491772569,13.26024133,59.3876982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8602879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOYOTA 580 CK009,0.928486,121.22,114.69,90.88,54.61,35.96,30.32,5.72,5.07,4.85,3.55,3.65,4.67,62.93,59.65,52.48,39.34,32.97,31.55,63.19,59.86,52.7,39.5,33.17,31.89,84.81,85.14,84.72,84.85,83.67,81.59,13.65,14.65,8.82,31.76,27.38,21.31,7.07,11.73410566,0,0,45.31573985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.76906438,0,0,0,0,0,0,3.769580261,0,0,0,0,0,0,0,0,0,3.785918016,0,0,0,0,0,0,0,0,0,1.815330979,0,0,0,0,8.810260852,0,0,0,0
TOYOTA 580 CK081,0.940141,102.54,97.89,82.59,55.49,37.78,31.49,12.62,11.58,10.31,8.02,7.2,7.66,67.89,63.86,57.05,43.85,34.65,31.6,69.06,64.9,57.98,44.58,35.39,32.51,79.47,79.72,79.76,79.63,78.27,76.38,10.91,11.72,10.37,28.75,29.78,24.37,6.76,0,0,0,4.960731777,0,51.36301619,0,0,0,0,0,0,0,13.13683478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.371785473,0,0,0,0,0,0,0,0,7.573047067,0,0,0,0,0,0,0,0,0,3.283783839,0,0,0,0,15.31080088,0,0,0,0
TOYOTA 580 CK101,0.999889,115.96,107.92,81.89,47.73,31.1,25.13,10.29,9.19,7.55,4.61,3.28,3.27,83.8,77.43,62.76,41.29,30.49,27.24,84.43,77.97,63.21,41.55,30.67,27.43,83,83.23,83.14,83.63,83.87,83.16,5.66,5.44,4.68,18.03,24.5,19.73,6.02,54.9573977,0,0,0,0,0,0,3.069512856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31321194,0,0,0,0,0,0,0,0,0,0,2.772463225,0,0.621298988,0,26.26611529,0,0,0,0
TOYOTA 585 CK081,0.998352,124.88,117.31,93.43,59.14,42.12,36.19,0.13,-0.05,-0.51,-1.33,-1.4,-1,39.35,36.23,30.13,21.03,18.53,19.12,39.35,36.23,30.13,21.08,18.58,19.15,89.81,90.08,90.96,93.63,94.33,93,12.04,7.59,5.77,22.67,24.83,19.15,5.89,52.09167189,0,7.240652346,7.208895099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48391284,0,0,1.502794746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.966293502,0,0,0,0,1.004737777,0,12.5010418,0,0
TOYOTA 586 CK081,0.952746,132.29,124.43,99.79,60.61,37.59,30.2,-1.04,-1.01,-0.95,-0.94,-0.63,-0.37,23.33,21.37,18.06,12.42,10.45,10.83,23.35,21.39,18.09,12.45,10.47,10.84,92.56,92.71,93.02,94.34,93.44,91.96,16.22,13.02,11.05,28.88,27.88,24.68,6.75,0,0,23.62246022,3.341707522,0,43.3152975,17.13153856,5.20109885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546848654,0,0,0,0,0,0,0,0,0,1.324922195,0,0,0,0,0,0,5.516126494,0,0
TOYOTA 588 CK000,0.88813,113.28,105.85,81.94,51.6,39.44,35.69,-8.59,-8.19,-8.46,-10.94,-14.18,-15.19,68.42,65.47,56.5,41.9,35.03,33.11,68.95,65.98,57.13,43.31,37.79,36.42,97.16,97.13,98.51,104.64,112.04,114.64,9.4,6.88,6.88,24.02,24.83,13.78,5.79,0,0,0,0,0,27.87385328,0,2.472855466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.55614407,0,0,0,0,0,20.25582232,0,0,4.496100847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810772284,0,1.060742291,0,0,15.47370945,0,0,0,0
TOYOTA 588 CK001,0.817647,120.05,111.97,86.82,55.42,42.1,38.11,-11.39,-10.17,-9.28,-10.12,-12.32,-13.24,68.79,65.66,53.5,39.55,35.57,35.78,69.73,66.45,54.3,40.83,37.64,38.15,99.41,98.81,99.84,104.35,109.1,110.31,6.98,5.88,4.14,20.26,22.37,12.53,4.57,9.865128353,0,0,0,0,0,0,2.455787271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.45607279,0,0,0,0,58.82061507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607460676,0,0,0,0.594286221,5.200649611,0,0,0,0
TOYOTA 588 CK105,0.776763,116.98,109.71,86.34,56.45,43.03,38.94,-12.32,-10.76,-9.04,-9.21,-11.29,-12.31,69.9,66.88,55,41.26,37.94,38.34,70.98,67.74,55.74,42.28,39.58,40.26,100,99.14,99.34,102.58,106.58,107.8,7.48,5.14,4.77,19.14,19.65,11.92,4.32,4.226245426,3.816364496,0,0,0,0,9.857184541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.72199077,0,0,0,0,41.71704015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318388703,0,0.6315291,0,0,6.711256814,0,0,0,0
TOYOTA 589 CK000,0.965765,94.35,91.32,80.65,58.64,40.59,32.09,-2.59,-2.68,-2.82,-3.18,-3.58,-3.5,48.81,46.33,41.87,33.72,28.75,26.72,48.88,46.41,41.96,33.87,28.97,26.95,93.04,93.31,93.86,95.39,97.09,97.47,20.42,13.36,12.38,27.22,28.3,23.08,8.01,41.29946757,0,24.71222565,0,0,0,0,16.15955826,0.064724532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.011771958,0,0,0,0,0,0.271270073,0,0,0,0,0,0,0,0,0,0,0,0,0,4.692705442,0,0,0,0,10.78827652,0,0,0,0
TOYOTA 593 CK101,0.998385,119.13,111.85,81.65,40.92,23.38,18.58,2.26,2.48,2.13,1.45,1.38,1.32,16.14,15.38,11.96,7.05,3.73,2.25,16.3,15.58,12.15,7.19,3.98,2.61,82.04,80.83,79.89,78.36,69.65,59.53,15.08,19.05,15.23,35.25,26.79,17.27,8.71,0,0,0,56.33650197,0,0,0,31.58091997,0.089053513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.765614417,0,0.216561951,0,0,0.698643851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649827861,0,0,0,0,0,0,2.662876464,0,0
TOYOTA 599 CK101,0.999753,84.43,85.39,85.22,85.37,85.74,82.86,-3.54,-3.58,-3.57,-3.53,-3.36,-3.18,14.23,14.73,14.71,14.69,13.32,12.46,14.66,15.16,15.14,15.11,13.73,12.86,103.98,103.67,103.62,103.52,104.16,104.32,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,6.514346092,78.26526636,8.498788058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837673991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.883925503,0,0,0,0,0,0,0,0
TOYOTA 5A3 CK002,0.961322,76.43,76.94,76.59,76.55,76.49,73.84,24.48,25.86,26.16,26.56,26.2,24.9,87.56,90.89,91.27,91.73,88.73,85.23,90.92,94.5,94.95,95.5,92.52,88.79,74.38,74.12,74.01,73.85,73.55,73.71,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,3.110421349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.92134266,0,0,0,0,0,0,0,0,54.95387674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014359249,0,0,0,0,0,0
TOYOTA 5A4 CK001,0.878471,134.16,123.31,92.3,58.11,46.17,43.52,1.07,1.65,1.27,0.3,-0.04,0.1,34.43,30.91,18.69,5.43,0.23,0.82,34.45,30.95,18.74,5.44,0.24,0.82,88.22,86.94,86.1,86.85,100.45,82.84,7.22,5.41,4.32,20.76,20.33,8.91,4.41,0,0,0,0,0,14.1638912,0,1.989413672,0.015707585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.95182994,70.35327767,0,0,2.150001139,0,0,0.029340324,0,0,0,0,0,0.346538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOYOTA 60U CK081,0.993496,102.61,97.78,81.75,52.77,31.45,22.53,7.25,6.74,6.02,4.75,4.74,5,26.84,25.26,22.13,16.5,13.36,12.2,27.8,26.14,22.93,17.17,14.17,13.18,74.88,75.06,74.78,73.94,70.46,67.72,19.68,12.19,10.31,28.75,29.59,26.21,8.21,41.94525656,0,27.00431628,0,0,0,0,15.3174262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.173754507,0,0,0,0,0,0,0,0,1.083892889,1.87307816,6.360338198,0,0,0,0.241937211,0,0,0,0
