SampleNo,CR,15ML,15L,25L,45L,75L,110L,15Ma,15a,25a,45a,75a,110a,15Mb,15b,25b,45b,75b,110b,15Mc,15c,25c,45c,75c,110c,15Mh,15h,25h,45h,75h,110h,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190,020,010
AUDI/VOLKS WAGEN LB7Z CK006,0.985747,143.02,132.96,102.4,61.78,44.32,40.63,-0.31,-0.18,-0.24,-0.44,-0.47,-0.7,12.87,11.38,6.82,-2.88,-9.64,-11.2,12.87,11.38,6.83,2.91,9.65,11.23,91.37,90.89,92.04,261.33,267.21,266.42,10.3,8.51,6.56,26.22,25.31,17.05,5.37,0,0,0,25.01921699,0,47.01887331,20.16635163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.376355355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419202709,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LB8Q CK001,0.955265,47.5,44.59,32.59,16.85,10.49,8.34,21.56,20.45,17.27,12.29,9.72,8.49,21.47,20.39,16.6,10.66,6.97,5.16,30.43,28.88,23.95,16.27,11.95,9.93,44.88,44.91,43.88,40.93,35.64,31.29,20.99,9.88,8.35,30.76,26.29,13.87,7.82,0,0,2.947462727,2.623048276,8.257835518,0,0,32.8663265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.973963589,0,0,0,0,0,0,13.32077218,2.171625968,17.94165021,0,0,0,0,0,12.89731503,0,0
AUDI/VOLKS WAGEN LC3K CK001,0.638411,37.03,34.77,27.86,19.44,16.42,15,48.76,47.56,42.76,35.91,32.33,30.5,34.99,33.84,30.71,24.68,20.55,18.6,60.02,58.37,52.65,43.57,38.31,35.73,35.66,35.43,35.68,34.5,32.43,31.37,6.7,5.15,2.76,33.42,22.31,15.3,2.89,0,0,0,0,0,0,1.76758886,0,0.124682517,0,0,37.03915358,0,2.080202073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.721740507,0,0,0,0,22.47246283,0,0,0,0,0,0,0,0,31.52452393,3.269645705,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LC3M CK004,0.745357,55.62,53.34,42.54,25.63,16.39,12.97,55.39,52.67,45.74,34.48,28.13,25.42,22.34,21.15,18.29,14.92,14.31,13.27,59.72,56.76,49.26,37.57,31.56,28.68,21.96,21.88,21.79,23.4,26.97,27.57,7.45,6.08,4.67,31.4,30.23,21.6,5.08,21.2627706,0,0,0,0,0,0,10.33606904,0.077279021,0,0,0,0,3.438193444,0,0,8.595483609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.60604265,0,0,0,0,0,0,0,0,0,20.08150556,0,0,2.602656073,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LC3T CK002,0.981631,47.08,40.81,23.61,10.18,7.92,6.92,50.82,47.05,33.77,19.9,16.06,14.31,26.32,23.95,17.6,10,7.44,6.16,57.24,52.79,38.08,22.27,17.7,15.57,27.38,26.98,27.53,26.69,24.85,23.29,9.46,4.87,3.34,34.93,18.5,5.33,3.89,0,0,0,0,0,0,0,28.61061391,0,0,0,12.97968146,0,19.88516368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.58367709,0,0,0,0,0,0,0,0,0,4.284244305,0,0,0,0,0,0,21.65661956,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LC4T CK001,0.999698,39.93,37.79,25.84,11.32,5.87,4.48,1.28,1.42,1.41,1.63,1.78,1.47,-8.84,-7.16,-4.95,-2.35,0.18,0.73,8.93,7.3,5.15,2.86,1.79,1.64,278.23,281.24,285.91,304.79,5.78,26.34,5.28,3.44,2.55,28.98,28.61,10.36,3.35,0,0,0,0,0,0,1.241659188,58.56689592,0,0,0,0,0,0,0,0,0,0,0,0,1.874678783,0,0,0,0,0,0,12.73037685,0,0,0,0,0,0,0,0,0,0,0,0.689972778,0,0,0,0,0,0,0,0,0,0.712869487,0,4.701513794,0,0,19.4820332,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LC5L CK012,0.83308,25.81,23.96,14.43,6.31,4.71,4.05,16.81,12.61,10.53,9.1,7.61,6.12,-40.33,-35.13,-22.59,-12.58,-8.36,-5.93,43.69,37.33,24.93,15.52,11.3,8.53,292.62,289.75,295,305.88,312.3,315.93,6.54,2.92,4.69,31.38,23.3,7.39,1.72,0,0,0,0,0,0,0,20.81768354,0,0,0,0,0,0,0,0,0,0,0,0,20.77101235,0,0,0,0,0,0,3.085978977,0,0,0,0,0,0,0.123263819,0,0,0,0,0.305243573,0,0,0,0,20.84853467,0,0,15.24521406,0,0,0,0,0,0,18.803069,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LC6P CK001,0.996797,40.94,36.57,20.89,7.35,4.35,3.6,-37.87,-35.11,-24.21,-9.35,-3.09,-1.73,6.3,6.96,4.03,-1.94,-4.18,-4.1,38.39,35.79,24.54,9.55,5.2,4.44,170.55,168.78,170.55,191.75,233.5,247.14,15.4,5.3,4.85,30.07,24.63,7.15,3.89,0,0,0,0,0,0,0,46.8181455,0,0,0,0,0,0,0,0,0,0,0,7.242091202,0,0,0,0,0,10.8631368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.111999314,8.749768241,24.21485894,0,0,0,0,0
AUDI/VOLKS WAGEN LD1B CK007,0.99545,88.81,89.92,89.76,89.95,90.15,86.98,-2.09,-1.92,-1.85,-1.75,-1.73,-1.74,53.68,55.78,56.03,56.23,53.59,50.82,53.72,55.81,56.06,56.25,53.62,50.85,92.23,91.97,91.89,91.79,91.85,91.96,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0.212678378,47.06254473,39.10224028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.62253661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LD1B CK104,0.989774,87.2,88.3,88.11,88.28,88.48,85.44,-1.26,-1.03,-0.96,-0.84,-0.85,-0.94,59.66,62.05,62.36,62.58,59.67,56.63,59.67,62.05,62.36,62.58,59.67,56.64,91.21,90.95,90.88,90.77,90.82,90.95,0.2,0,0,0.2,0,0,0.53,0,0,0,0,0,0,0,0.383239676,35.22581512,47.61690359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77404161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
