(renkenv310) C:\Users\TAC7\Desktop\RenkAI>python optimize_model.py
📂 Veri önbelleğe alınıyor...
🚀 Hiperparametre Optimizasyonu Başlıyor... (Cihaz: cuda)
⚠️ Bu işlem uzun sürebilir. Arkana yaslan ve kahve al.
🧬 Deneme: LR=0.00404, Hid=92, Emb=16, Drop=0.15, Batch=57 -> 📉 DeltaE: 5.4858
🧬 Deneme: LR=0.00712, Hid=239, Emb=36, Drop=0.03, Batch=96 -> 📉 DeltaE: 4.4867
🧬 Deneme: LR=0.00327, Hid=96, Emb=19, Drop=0.28, Batch=30 -> 📉 DeltaE: 6.2114
🧬 Deneme: LR=0.00332, Hid=233, Emb=28, Drop=0.13, Batch=65 -> 📉 DeltaE: 4.6517
🧬 Deneme: LR=0.00453, Hid=188, Emb=22, Drop=0.20, Batch=94 -> 📉 DeltaE: 5.6501
differential_evolution step 2: f(x)= 4.075827121734619
🧬 Deneme: LR=0.00395, Hid=236, Emb=40, Drop=0.01, Batch=56 -> 📉 DeltaE: 4.3599
🧬 Deneme: LR=0.00637, Hid=174, Emb=26, Drop=0.14, Batch=59 -> 📉 DeltaE: 5.4589
🧬 Deneme: LR=0.00056, Hid=68, Emb=31, Drop=0.17, Batch=26 -> 📉 DeltaE: 6.3483
🧬 Deneme: LR=0.00331, Hid=182, Emb=34, Drop=0.01, Batch=124 -> 📉 DeltaE: 4.0305
🧬 Deneme: LR=0.00715, Hid=121, Emb=40, Drop=0.09, Batch=112 -> 📉 DeltaE: 4.6798
🧬 Deneme: LR=0.00455, Hid=70, Emb=27, Drop=0.19, Batch=109 -> 📉 DeltaE: 5.7997
🧬 Deneme: LR=0.00034, Hid=241, Emb=26, Drop=0.02, Batch=100 -> 📉 DeltaE: 6.7555
🧬 Deneme: LR=0.00393, Hid=214, Emb=39, Drop=0.28, Batch=55 -> 📉 DeltaE: 5.6110
🧬 Deneme: LR=0.00154, Hid=83, Emb=39, Drop=0.12, Batch=109 -> 📉 DeltaE: 5.3733
🧬 Deneme: LR=0.00381, Hid=220, Emb=46, Drop=0.16, Batch=77 -> 📉 DeltaE: 4.8841
🧬 Deneme: LR=0.00245, Hid=251, Emb=38, Drop=0.20, Batch=102 -> 📉 DeltaE: 4.8072
🧬 Deneme: LR=0.00746, Hid=155, Emb=18, Drop=0.01, Batch=56 -> 📉 DeltaE: 4.5432
🧬 Deneme: LR=0.00417, Hid=153, Emb=24, Drop=0.15, Batch=123 -> 📉 DeltaE: 4.6964
🧬 Deneme: LR=0.00168, Hid=215, Emb=13, Drop=0.06, Batch=103 -> 📉 DeltaE: 4.6566
