SampleNo,Type,Mean_DeltaE,15L,15a,15b,25L,25a,25b,45L,45a,45b,75L,75a,75b,110L,110a,110b,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
GRTOYOTA 3K7 CK003,REAL,0.0,81.16,4.43,8.01,72.38,4.09,6.63,53.37,3.38,3.73,35.5,3.16,0.49,26.24,3.06,-1.22,17.05319602,0.0,0.0,0.0,0.0,0.0,39.71799942,21.3773993,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,3.675365157,0.0,0.0,1.185214489,0.0,0.0,0.0,0.0,0,0.32066682,0.0,1.036190122,0,0.0,0.0,0.0,0.0,0.0,0.0,2.889258703,12.74470997,0.0,0.0,0.0,0.0,0,0.0
GRTOYOTA 3K7 CK003,PRED,1.5789999961853027,84.20999908447266,4.320000171661377,7.760000228881836,73.83999633789062,3.950000047683716,6.630000114440918,52.15999984741211,3.190000057220459,3.180000066757202,34.16999816894531,2.930000066757202,-0.07999999821186066,25.829999923706055,2.8499999046325684,-1.5299999713897705,17.05319602,0.0,0.0,0.0,0.0,0.0,39.71799942,21.3773993,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,3.675365157,0.0,0.0,1.185214489,0.0,0.0,0.0,0.0,0,0.32066682,0.0,1.036190122,0,0.0,0.0,0.0,0.0,0.0,0.0,2.889258703,12.74470997,0.0,0.0,0.0,0.0,0,0.0
MONISSAN LV1 CK081,REAL,0.0,51.61,14.29,3.68,38.73,12.22,4.28,19.26,8.26,4.07,7.1,4.53,2.81,3.95,1.89,1.74,0.0,9.773984997,0.0,0.0,0.0,7.355115249,0.0,65.29259643,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,7.776991291,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.308657737,0.0,0,0.0,0.0,0.0,0,1.313994594,0.0,0.0,0.0,5.319558125,0.0,0.859101576,0.0,0.0,0.0,0.0,0.0,0,0.0
MONISSAN LV1 CK081,PRED,3.243000030517578,56.43000030517578,14.319999694824219,4.739999771118164,42.16999816894531,11.34000015258789,3.809999942779541,21.43000030517578,6.710000038146973,2.8399999141693115,9.65999984741211,3.700000047683716,2.130000114440918,5.929999828338623,2.049999952316284,1.7799999713897705,0.0,9.773984997,0.0,0.0,0.0,7.355115249,0.0,65.29259643,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,7.776991291,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.308657737,0.0,0,0.0,0.0,0.0,0,1.313994594,0.0,0.0,0.0,5.319558125,0.0,0.859101576,0.0,0.0,0.0,0.0,0.0,0,0.0
MTOYOTA 8L6 CK007,REAL,0.0,80.91,-3.8,-22.04,69.09,-3.19,-22.3,49.53,-2.16,-23.8,37.04,-0.42,-27.47,31.85,0.75,-30.02,0.0,0.0,0.0,0.0,0.0,20.35541373,45.01933887,0.0,0.859196387,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,13.0881079,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5.368771278,14.10347985,0.0,0.0,0.0,0.0,1.205691979,0.0,0.0,0.0,0.0,0.0,0,0.0
MTOYOTA 8L6 CK007,PRED,9.329000473022461,92.5999984741211,-5.480000019073486,-26.020000457763672,76.25,-4.059999942779541,-24.1299991607666,47.7599983215332,-0.9599999785423279,-21.520000457763672,28.6200008392334,3.009999990463257,-22.3700008392334,21.209999084472656,4.809999942779541,-23.360000610351562,0.0,0.0,0.0,0.0,0.0,20.35541373,45.01933887,0.0,0.859196387,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,13.0881079,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5.368771278,14.10347985,0.0,0.0,0.0,0.0,1.205691979,0.0,0.0,0.0,0.0,0.0,0,0.0
MTOYOTA 8M0 CK018,REAL,0.0,70.5,-7.81,-19.57,54.46,-6.51,-16.82,31.19,-3.82,-13.33,17.55,-0.95,-11.62,12.18,0.6,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.830810518,10.72340909,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,38.47855965,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2.246995273,0.0,0.0,0.0,0.548672067,0.0,0.0,0,0.0,29.3352835,0.0,0,0.0,0.0,0.0,0.0,2.723238021,0.0,0.427372066,9.68565982,0.0,0.0,0.0,0.0,0,0.0
MTOYOTA 8M0 CK018,PRED,5.683000087738037,60.31999969482422,-3.5899999141693115,-19.110000610351562,45.0099983215332,-3.2799999713897705,-16.81999969482422,26.3700008392334,-1.909999966621399,-13.09000015258789,16.889999389648438,0.1899999976158142,-11.350000381469727,12.960000038146973,0.9700000286102295,-10.5,0.0,0.0,0.0,0.0,0.0,0.0,5.830810518,10.72340909,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,38.47855965,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2.246995273,0.0,0.0,0.0,0.548672067,0.0,0.0,0,0.0,29.3352835,0.0,0,0.0,0.0,0.0,0.0,2.723238021,0.0,0.427372066,9.68565982,0.0,0.0,0.0,0.0,0,0.0
GRJAGUAR LKS CK000,REAL,0.0,45.55,0.54,7.22,39.44,0.54,5.47,27.14,0.42,1.73,17.22,0.47,-2.8,12.57,0.47,-4.76,0.0,0.0,0.0,0.0,0.0,0.0,13.80446843,63.76689296,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,6.060575824,0,0.0,5.349520942,0.0,0.0,2.113086576,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2.35791282,0.0,0.0,0.0,4.815722757,0.0,0.0,0.0,0.0,0.0,0,1.731819695
GRJAGUAR LKS CK000,PRED,2.388000011444092,45.65999984741211,2.9000000953674316,7.75,41.15999984741211,2.259999990463257,6.059999942779541,29.139999389648438,1.6799999475479126,2.1600000858306885,19.059999465942383,1.2899999618530273,-1.649999976158142,14.210000038146973,1.0099999904632568,-3.25,0.0,0.0,0.0,0.0,0.0,0.0,13.80446843,63.76689296,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,6.060575824,0,0.0,5.349520942,0.0,0.0,2.113086576,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2.35791282,0.0,0.0,0.0,4.815722757,0.0,0.0,0.0,0.0,0.0,0,1.731819695
